flight_id,flight_number,date,month,day_of_week,is_weekend,airline,aircraft_type,origin,destination,distance_km,scheduled_dep_hour,flight_duration_min,seat_capacity,passengers_boarded,load_factor_pct,weather_origin,weather_dest,origin_congestion,dest_congestion,atc_delay_min,late_aircraft_min,tech_issue_delay_min,dep_delay_min,arr_delay_min
FL1218,6E620,2023-08-03,8,Thursday,0,IndiGo,A320,BLR,SXR,1919,13,179,180,127.0,70.6,8.0,8.0,7,2,0.3,0.0,0.0,18.6,45.8
FL1362,SG588,2023-11-05,11,Sunday,1,SpiceJet,A320,LKO,IXB,1429,21,120,180,147.0,82.1,7.0,1.0,3,2,3.4,0.0,0.0,21.6,39.6
FL0325,SG758,2023-05-27,5,Saturday,1,SpiceJet,A320,BHO,IXB,1315,13,130,180,170.0,94.6,1.0,4.0,2,2,3.2,0.0,0.0,0.0,20.1
FL1260,6E833,2023-08-27,8,Sunday,1,IndiGo,A320,IXC,BOM,1600,17,129,180,119.0,66.4,,9.0,2,9,14.5,0.0,0.0,49.9,131.3
FL1194,SG738,2023-12-10,12,Sunday,1,SpiceJet,B737,HYD,IXC,777,22,95,162,123.0,,5.0,5.0,6,2,0.0,0.0,0.0,16.5,47.7
FL0941,G8533,2023-12-31,12,Sunday,1,GoFirst,B737,PNQ,LKO,1022,8,96,162,148.0,91.7,4.0,,4,3,6.6,0.0,0.0,14.2,34.0
FL0606,SG138,2023-01-07,1,Saturday,1,SpiceJet,A320,BLR,CCU,1670,16,156,180,134.0,74.6,3.0,5.0,7,5,4.6,24.0,0.0,34.3,89.5
FL1424,AI973,2023-01-12,1,Thursday,0,Air India,B737,DEL,MAA,1760,6,167,162,120.0,74.2,,8.0,9,6,0.0,0.0,0.0,44.5,94.6
FL0403,AI986,2023-02-27,2,Monday,0,Air India,A319,BOM,GOI,450,12,59,144,122.0,85.3,,6.0,9,3,4.5,0.0,0.0,37.8,74.2
FL1436,SG230,2023-03-21,3,Tuesday,0,SpiceJet,A320,IXB,BHO,1788,5,171,180,136.0,,5.0,,2,2,4.9,37.0,0.0,56.8,71.0
FL0389,UK710,2023-04-02,4,Sunday,1,Vistara,A320,CCU,PAT,1720,10,173,180,144.0,80.1,1.0,1.0,5,2,2.1,8.9,0.0,11.2,9.4
FL0508,6E945,2023-02-02,2,Thursday,0,IndiGo,A320,PNQ,MAA,915,15,93,180,176.0,,5.0,2.0,4,6,3.8,0.0,0.0,21.8,26.8
FL0611,6E585,2023-10-10,10,Tuesday,0,IndiGo,A320,GOI,ATQ,1081,7,120,180,162.0,90.1,1.0,3.0,3,2,0.4,0.0,0.0,6.0,16.2
FL1222,6E962,2023-06-07,6,Wednesday,0,IndiGo,ATR72,COK,JAI,1170,14,111,70,61.0,88.2,9.0,10.0,4,4,1.3,0.0,0.0,30.6,71.3
FL1486,6E851,2023-01-15,1,Sunday,1,IndiGo,A320,VTZ,MAA,963,11,89,180,133.0,74.0,3.0,,2,6,0.2,0.0,0.0,10.0,56.0
FL0420,AI847,2023-12-31,12,Sunday,1,Air India,A320,BLR,MAA,340,17,52,180,126.0,70.3,9.0,1.0,7,6,30.6,44.7,0.0,110.9,103.9
FL0160,SG238,2023-06-19,6,Monday,0,SpiceJet,B737,GOI,SXR,537,9,69,162,156.0,96.3,6.0,7.0,3,2,8.5,27.2,0.0,43.9,75.6
FL0773,SG190,2023-09-25,9,Monday,0,SpiceJet,A321,SXR,HYD,946,6,97,220,182.0,82.8,7.0,5.0,2,6,0.0,0.0,0.0,13.2,32.7
FL1237,G8438,2023-11-15,11,Wednesday,0,GoFirst,A320,IXB,BOM,584,5,76,180,137.0,76.5,1.0,2.0,2,9,2.2,0.4,0.0,20.6,30.1
FL1360,AI388,2023-09-25,9,Monday,0,Air India,A319,ATQ,HYD,1383,14,122,144,115.0,80.5,9.0,7.0,2,6,0.7,0.0,0.0,38.9,95.3
FL0441,6E283,2023-11-14,11,Tuesday,0,IndiGo,ATR72,IXB,LKO,544,9,74,70,65.0,,1.0,4.0,2,3,0.0,0.0,0.0,6.1,21.8
FL1205,UK908,2023-12-27,12,Wednesday,0,Vistara,CRJ-900,GOI,IXC,973,8,112,90,75.0,83.9,3.0,5.0,3,2,9.0,0.9,0.0,12.0,40.4
FL0578,AI720,2023-05-24,5,Wednesday,0,Air India,,CCU,MAA,1640,14,157,144,110.0,76.7,1.0,1.0,5,6,3.7,24.0,0.0,36.9,74.5
FL0021,UK100,2023-10-21,10,Saturday,1,Vistara,A321,LKO,CCU,1404,21,124,220,,90.4,2.0,1.0,3,5,9.3,0.0,0.0,12.1,27.3
FL1040,6E424,2023-11-12,11,Sunday,1,IndiGo,A321,BOM,SXR,1392,5,128,220,219.0,99.8,2.0,2.0,9,2,7.1,0.0,0.0,16.1,19.9
FL0644,I5710,2023-05-06,5,Saturday,1,AirAsia India,A320,AMD,CCU,1783,18,143,180,144.0,80.5,4.0,5.0,4,5,9.8,0.0,0.0,8.8,38.1
FL0784,SG289,2023-12-07,12,Thursday,0,SpiceJet,A320,IXC,AMD,611,21,86,180,135.0,,5.0,3.0,2,4,2.1,0.0,0.0,23.5,48.9
FL0943,SG789,2023-10-16,10,Monday,0,SpiceJet,A320,GAU,IXB,898,6,96,180,140.0,77.8,2.0,3.0,2,2,0.6,0.0,0.0,16.8,37.9
FL1365,UK462,2023-05-02,5,Tuesday,0,Vistara,ATR72,VTZ,BHO,1747,11,159,70,63.0,91.1,1.0,6.0,2,2,0.0,0.0,0.0,1.6,39.3
FL0557,UK764,2023-08-05,8,Saturday,1,Vistara,B737,AMD,BHO,1712,7,156,162,137.0,85.0,9.0,7.0,4,2,0.0,0.0,0.0,37.6,90.4
FL0605,AI893,2023-08-18,8,Friday,0,Air India,A321,COK,IXB,1997,22,183,220,125.0,57.0,7.0,7.0,4,2,0.4,0.0,0.0,21.8,72.0
FL1377,6E436,2023-05-29,5,Monday,0,IndiGo,B737,VTZ,ATQ,417,11,58,162,142.0,87.7,2.0,,2,2,0.0,0.0,0.0,4.0,19.3
FL0612,G8658,2023-05-02,5,Tuesday,0,GoFirst,B737,PNQ,MAA,1829,7,177,162,118.0,73.1,5.0,5.0,4,6,0.0,0.0,0.0,21.4,55.2
FL0529,6E907,2023-04-03,4,Monday,0,IndiGo,ATR72,PNQ,PAT,757,7,84,70,62.0,89.1,2.0,7.0,4,2,4.7,0.0,0.0,6.9,52.7
FL1210,G8368,2023-03-04,3,Saturday,1,GoFirst,ATR72,DEL,PNQ,1200,18,122,70,47.0,,2.0,1.0,9,4,13.5,0.0,0.0,18.6,24.6
FL1473,BZ258,2023-01-14,1,Saturday,1,Blue Dart,B737,BOM,AMD,530,14,68,162,141.0,,4.0,1.0,9,4,1.8,,0.0,12.0,9.9
FL0629,G8283,2023-09-09,9,Saturday,1,GoFirst,A321,PNQ,CCU,1850,19,165,220,168.0,76.7,9.0,6.0,4,5,7.8,0.0,0.0,48.4,75.0
FL0850,AI939,2023-05-13,5,Saturday,1,Air India,B737,BLR,MAA,340,15,51,162,125.0,77.7,,2.0,7,6,2.1,0.0,0.0,7.8,39.1
FL0717,UK249,2023-10-13,10,Friday,0,Vistara,A320,IXC,BOM,976,15,105,180,,71.7,3.0,6.0,2,9,2.5,0.0,0.0,3.0,25.1
FL1198,UK555,2023-03-04,3,Saturday,1,Vistara,A321,SXR,AMD,1027,18,104,220,207.0,94.1,3.0,2.0,2,4,9.3,0.0,0.0,18.7,46.0
FL0590,SG989,2023-07-05,7,Wednesday,0,SpiceJet,A321,BOM,DEL,1148,8,107,220,220.0,100.0,10.0,6.0,9,9,1.9,0.0,0.0,45.9,125.3
FL0619,6E391,2023-12-31,12,Sunday,1,IndiGo,B737,JAI,PAT,562,17,56,162,143.0,88.5,8.0,6.0,4,2,0.2,0.0,0.0,23.5,46.5
FL0729,SG294,2023-09-24,9,Sunday,1,SpiceJet,A321,ATQ,IXC,1444,14,123,220,165.0,,2.0,8.0,2,2,0.0,0.4,0.0,6.4,64.7
FL0300,AI875,2023-10-16,10,Monday,0,Air India,B737,DEL,LKO,510,19,61,162,104.0,64.5,3.0,6.0,9,3,15.5,0.0,0.0,24.0,53.0
FL0178,6E198,2023-04-26,4,Wednesday,0,IndiGo,B737,BLR,HYD,500,15,57,162,133.0,82.1,7.0,5.0,7,6,1.1,0.0,0.0,32.1,32.6
FL0519,UK323,2023-01-12,1,Thursday,0,Vistara,A320,AMD,IXC,1071,16,102,180,149.0,83.1,7.0,7.0,4,2,0.0,0.0,0.0,28.0,63.0
FL1096,I5116,2023-04-28,4,Friday,0,AirAsia India,A320,MAA,CCU,1640,8,147,180,129.0,71.8,3.0,1.0,6,5,6.8,,0.0,30.1,27.2
FL0993,I5209,2023-03-31,3,Friday,0,AirAsia India,ATR72,ATQ,LKO,1729,10,165,70,58.0,83.4,4.0,1.0,2,3,3.8,0.0,0.0,8.6,13.9
FL0507,AI387,2023-06-12,6,Monday,0,Air India,A320,DEL,LKO,510,9,55,180,138.0,76.8,,7.0,9,3,8.3,0.0,0.0,16.7,74.2
FL0856,AI819,2023-03-19,3,Sunday,1,Air India,A321,LKO,HYD,877,7,89,220,188.0,85.5,5.0,5.0,3,6,14.7,0.0,0.0,15.9,69.6
FL0595,UK777,2023-08-03,8,Thursday,0,Vistara,A320,VTZ,BOM,1884,14,175,180,131.0,73.3,7.0,3.0,2,9,0.0,0.0,0.0,25.9,34.4
FL0416,AI204,2023-01-05,1,Thursday,0,Air India,A320,ATQ,BLR,768,14,88,180,128.0,71.6,5.0,1.0,2,7,2.5,0.0,0.0,8.9,51.4
FL0622,6E960,2023-05-25,5,Thursday,0,IndiGo,A320,PNQ,AMD,1758,12,152,180,123.0,68.8,2.0,3.0,4,4,0.0,0.0,0.0,0.0,18.6
FL0565,UK438,2023-12-08,12,Friday,0,Vistara,ATR72,CCU,BLR,1670,12,146,70,40.0,57.5,3.0,2.0,5,7,,0.0,0.0,0.5,19.0
FL1317,6E786,2023-04-25,4,Tuesday,0,IndiGo,A321,AMD,PNQ,1772,9,164,220,152.0,69.4,5.0,7.0,4,4,6.1,2.6,0.0,4.9,51.5
FL0918,G8564,2023-07-31,7,Monday,0,GoFirst,B737,BHO,AMD,984,6,101,162,142.0,87.9,5.0,4.0,2,4,4.2,,0.0,6.3,14.1
FL0467,6E159,2023-07-04,7,Tuesday,0,IndiGo,A320,VTZ,PNQ,360,19,57,180,154.0,86.1,6.0,6.0,2,4,12.5,0.0,0.0,16.5,55.6
FL0554,UK218,2023-07-02,7,Sunday,1,Vistara,B777,GOI,PAT,1941,12,177,342,239.0,69.9,9.0,5.0,3,2,0.6,0.0,0.0,215.0,25.7
FL0109,AI733,2023-02-10,2,Friday,0,Air India,A320,HYD,IXB,1865,19,179,180,154.0,,3.0,2.0,6,2,16.4,0.0,0.0,20.0,49.3
FL0559,AI897,2023-12-27,12,Wednesday,0,Air India,B737,ATQ,VTZ,1689,6,162,162,124.0,77.0,2.0,3.0,2,2,0.0,0.0,0.0,2.9,31.5
FL0103,I5298,2023-05-19,5,Friday,0,AirAsia India,ATR72,IXB,SXR,1522,8,140,70,62.0,89.2,,5.0,2,2,10.9,0.0,0.0,22.6,48.1
FL0608,I5117,2023-05-21,5,Sunday,1,AirAsia India,ATR72,BHO,PAT,1223,7,110,70,64.0,92.4,1.0,2.0,2,2,0.0,0.0,0.0,0.0,20.7
FL0122,6E978,2023-12-26,12,Tuesday,0,IndiGo,B737,ATQ,LKO,1136,14,117,162,129.0,80.2,3.0,4.0,2,3,0.0,12.4,0.0,23.8,27.4
FL1431,UK186,2023-02-26,2,Sunday,1,Vistara,A321,VTZ,JAI,542,22,80,220,174.0,79.5,4.0,1.0,2,4,4.9,0.0,0.0,13.5,28.3
FL1301,UK877,2023-08-10,8,Thursday,0,Vistara,B737,COK,CCU,711,13,80,162,152.0,94.0,3.0,5.0,4,5,0.0,11.4,0.0,16.8,41.3
FL0456,AI663,2023-09-29,9,Friday,0,Air India,A320,DEL,BHO,780,12,79,180,152.0,84.7,7.0,9.0,9,2,,0.0,0.0,21.7,93.1
FL0066,6E623,2023-04-16,4,Sunday,1,IndiGo,A320,IXB,JAI,1252,6,111,180,155.0,86.5,5.0,3.0,2,4,0.0,0.0,0.0,10.5,32.4
FL1252,6E207,2023-11-17,11,Friday,0,IndiGo,B787,BHO,IXB,548,13,65,296,199.0,,6.0,1.0,2,2,5.8,0.0,0.0,25.9,18.0
FL0919,UK627,2023-01-25,1,Wednesday,0,Vistara,ATR72,BOM,IXB,660,5,71,70,67.0,95.8,1.0,8.0,9,2,0.0,29.1,1.5,36.1,59.1
FL1456,I5711,2023-07-18,7,Tuesday,0,AirAsia India,A320,PNQ,JAI,633,12,78,180,145.0,80.9,7.0,7.0,4,4,7.7,0.0,0.0,31.9,42.8
FL1444,AI246,2023-07-19,7,Wednesday,0,Air India,A319,BOM,CCU,1880,22,157,144,114.0,,10.0,8.0,9,5,5.9,8.1,0.0,58.3,114.4
FL0369,6E677,2023-04-14,4,Friday,0,IndiGo,A320,PAT,AMD,1972,14,191,180,133.0,,6.0,4.0,2,4,0.0,0.0,0.0,20.2,32.3
FL1078,6E389,2023-01-15,1,Sunday,1,IndiGo,A320,IXB,MAA,732,14,72,180,162.0,90.4,5.0,1.0,2,6,7.8,0.0,0.0,20.9,46.6
FL0553,AI932,2023-09-25,9,Monday,0,Air India,B777,PNQ,ATQ,906,17,89,342,236.0,69.1,9.0,,4,2,0.0,0.0,0.1,27.4,54.2
FL0031,SG789,2023-02-28,2,Tuesday,0,SpiceJet,A320,LKO,IXC,1141,13,114,180,135.0,75.2,2.0,2.0,3,2,0.0,0.0,0.0,0.0,26.6
FL0560,SG521,2023-10-13,10,Friday,0,SpiceJet,ATR72,DEL,CCU,1305,13,112,70,54.0,77.9,1.0,7.0,9,5,3.1,0.0,0.0,3.0,51.9
FL1364,6E754,2023-07-09,7,Sunday,1,IndiGo,B737,PAT,VTZ,1806,20,158,162,100.0,61.9,4.0,6.0,2,2,12.9,18.6,0.0,41.5,81.3
FL1147,AI879,2023-11-24,11,Friday,0,Air India,A320,VTZ,MAA,1860,22,166,180,145.0,80.8,4.0,1.0,2,6,2.0,3.6,0.0,6.7,37.7
FL0977,6E196,2023-07-22,7,Saturday,1,IndiGo,ATR72,BLR,GAU,696,10,69,70,54.0,78.1,4.0,3.0,7,2,0.0,0.0,0.0,4.3,11.2
FL1464,6E447,2023-05-17,5,Wednesday,0,IndiGo,A319,SXR,GAU,1874,13,171,144,107.0,74.3,3.0,1.0,2,2,0.0,11.2,0.0,17.8,26.8
FL0418,SG765,2023-07-15,7,Saturday,1,SpiceJet,ATR72,MAA,BLR,340,9,56,70,49.0,71.2,7.0,6.0,6,7,7.7,0.0,0.8,27.9,79.5
FL1221,6E983,2023-02-01,2,Wednesday,0,IndiGo,A320,BOM,PNQ,149,7,39,180,167.0,92.8,1.0,3.0,9,4,12.2,0.0,0.0,12.9,45.2
FL0319,UK884,2023-10-04,10,Wednesday,0,Vistara,B777,HYD,BOM,620,7,75,342,296.0,86.6,1.0,6.0,6,9,18.8,0.0,0.0,19.2,63.4
FL1402,AI408,2023-12-03,12,Sunday,1,Air India,A320,IXC,HYD,453,9,54,180,166.0,92.6,2.0,4.0,2,6,5.6,0.0,0.0,14.0,46.2
FL1149,6E553,2023-04-16,4,Sunday,1,IndiGo,ATR72,PAT,JAI,1407,5,144,70,59.0,84.7,4.0,3.0,2,4,5.2,30.2,0.0,37.0,35.6
FL0502,6E253,2023-09-15,9,Friday,0,IndiGo,B737,VTZ,IXB,1370,7,145,162,144.0,89.0,7.0,6.0,2,2,0.0,0.0,0.0,17.0,64.2
FL0910,SG182,2023-09-30,9,Saturday,1,SpiceJet,B737,VTZ,PAT,1892,14,177,162,162.0,,8.0,3.0,2,2,0.0,14.4,0.0,41.9,62.8
FL0492,6E776,2023-09-07,9,Thursday,0,IndiGo,A321,ATQ,HYD,931,12,90,220,178.0,81.0,6.0,5.0,2,6,7.9,0.0,0.0,19.3,30.3
FL0246,I5687,2023-12-18,12,Monday,0,AirAsia India,B787,MAA,ATQ,1059,7,117,296,250.0,84.7,2.0,8.0,6,2,0.0,0.0,0.0,0.0,45.1
FL0448,G8817,2023-08-27,8,Sunday,1,GoFirst,A320,BOM,AMD,530,20,69,180,159.0,88.6,8.0,6.0,9,4,26.2,0.0,0.0,48.8,86.5
FL0772,6E495,2023-11-02,11,Thursday,0,IndiGo,,HYD,DEL,1253,13,126,180,150.0,83.9,8.0,2.0,6,9,,18.1,0.0,57.7,35.3
FL0645,AI635,2023-02-27,2,Monday,0,Air India,ATR72,PNQ,BHO,1089,10,107,70,57.0,82.7,3.0,2.0,4,2,3.5,31.7,4.6,48.8,64.3
FL0450,S5398,2023-04-06,4,Thursday,0,StarAir,A319,IXB,BOM,1190,15,118,144,92.0,64.4,8.0,1.0,2,9,6.2,0.0,0.0,35.9,40.4
FL1272,6E121,2023-04-30,4,Sunday,1,IndiGo,A321,PNQ,GAU,1503,16,123,220,167.0,76.2,7.0,4.0,4,2,0.0,0.0,4.3,21.6,36.1
FL0816,SG740,2023-09-19,9,Tuesday,0,SpiceJet,A321,PNQ,JAI,696,7,78,220,160.0,73.2,8.0,9.0,4,4,8.7,10.9,2.6,42.2,83.9
FL0730,AI951,2023-12-07,12,Thursday,0,Air India,B737,GAU,LKO,962,21,100,162,116.0,71.9,2.0,4.0,2,3,0.0,0.0,0.0,9.0,30.3
FL0572,AI660,2023-09-22,9,Friday,0,Air India,A321,JAI,PAT,1999,13,170,220,205.0,93.6,3.0,7.0,4,2,,0.0,0.0,7.9,70.7
FL0900,UK954,2023-08-27,8,Sunday,1,Vistara,B777,BLR,IXB,1617,6,134,342,242.0,70.9,3.0,9.0,7,2,0.0,16.0,0.0,12.5,83.0
FL0995,G8821,2023-11-16,11,Thursday,0,GoFirst,B787,IXC,HYD,1364,14,138,296,259.0,87.6,1.0,1.0,2,6,5.8,0.0,0.0,14.6,19.9
FL0965,SG534,2023-01-06,1,Friday,0,SpiceJet,B737,BHO,ATQ,891,14,85,162,135.0,83.6,4.0,7.0,2,2,1.5,,0.0,22.5,65.0
FL0719,SG494,2023-09-08,9,Friday,0,SpiceJet,A320,DEL,MAA,1760,19,152,180,178.0,99.2,6.0,10.0,9,6,45.6,0.0,0.0,53.7,142.7
FL1179,SG679,2023-03-31,3,Friday,0,SpiceJet,A320,SXR,ATQ,649,8,79,180,141.0,78.4,1.0,5.0,2,2,16.0,0.0,0.0,23.9,39.7
FL0881,I5420,2023-07-26,7,Wednesday,0,AirAsia India,B737,COK,GAU,991,13,86,162,129.0,80.1,7.0,7.0,4,2,2.3,0.0,0.0,20.3,51.0
FL1140,6E821,2023-04-14,4,Friday,0,IndiGo,A320,SXR,MAA,1292,8,124,180,152.0,84.8,5.0,1.0,2,6,7.7,0.0,0.0,15.9,40.0
FL0051,UK696,2023-01-14,1,Saturday,1,Vistara,A321,BLR,CCU,1670,13,138,220,130.0,59.2,2.0,6.0,7,5,0.0,0.0,0.0,0.8,38.8
FL0828,AI612,2023-04-05,4,Wednesday,0,Air India,ATR72,BLR,ATQ,1336,5,129,70,69.0,99.1,4.0,6.0,7,2,12.1,9.2,0.0,30.9,57.3
FL0625,G8619,2023-10-28,10,Saturday,1,GoFirst,B737,AMD,BLR,1789,6,140,162,132.0,81.8,1.0,8.0,4,7,2.6,2.6,1.9,16.8,96.6
FL0675,6E334,2023-11-01,11,Wednesday,0,IndiGo,CRJ-900,COK,AMD,1806,15,166,90,68.0,76.6,6.0,1.0,4,4,6.3,3.8,0.0,31.8,34.4
FL0667,6E513,2023-09-09,9,Saturday,1,IndiGo,A320,AMD,PNQ,1541,13,124,180,180.0,100.0,9.0,7.0,4,4,0.0,0.0,0.0,29.8,40.5
FL1041,SG471,2023-10-13,10,Friday,0,SpiceJet,B737,ATQ,PNQ,868,11,89,162,129.0,80.2,,,2,4,9.1,0.0,0.0,19.1,31.4
FL0546,6E745,2023-02-05,2,Sunday,1,IndiGo,,AMD,SXR,1737,16,172,180,139.0,77.5,1.0,4.0,4,2,,0.3,0.0,10.2,30.7
FL1371,AI943,2023-07-12,7,Wednesday,0,Air India,A320,GAU,LKO,800,13,91,180,152.0,84.7,9.0,9.0,2,3,0.0,0.0,0.0,30.6,93.0
FL0312,AI323,2023-08-18,8,Friday,0,Air India,A320,DEL,BHO,780,16,72,180,163.0,91.0,5.0,8.0,9,2,0.0,0.0,0.7,8.7,66.4
FL1339,AI222,2023-05-08,5,Monday,0,Air India,A320,PAT,AMD,1595,22,148,180,142.0,79.3,5.0,1.0,2,4,0.0,0.0,0.0,8.4,54.2
FL1231,6E252,2023-06-24,6,Saturday,1,IndiGo,A320,DEL,SXR,670,5,72,180,130.0,72.4,10.0,9.0,9,2,1.0,0.0,0.0,40.9,66.6
FL0921,UK990,2023-03-08,3,Wednesday,0,Vistara,B737,HYD,LKO,766,9,88,162,135.0,83.6,8.0,4.0,6,3,6.9,0.6,0.0,35.1,32.2
FL0068,SG586,2023-11-06,11,Monday,0,SpiceJet,ATR72,PNQ,COK,601,5,59,70,57.0,82.4,8.0,2.0,4,4,0.0,14.0,0.0,55.1,62.5
FL0427,AI161,2023-09-26,9,Tuesday,0,Air India,ATR72,IXB,BLR,328,12,56,70,52.0,75.3,5.0,8.0,2,7,9.9,0.0,9.8,36.9,74.4
FL0352,6E498,2023-05-08,5,Monday,0,IndiGo,B777,GOI,CCU,1454,8,129,342,260.0,76.1,8.0,7.0,3,5,15.2,6.6,0.0,51.7,47.1
FL0190,AI107,2023-06-01,6,Thursday,0,Air India,B777,BOM,AMD,530,18,66,342,296.0,86.7,9.0,7.0,9,4,20.2,0.0,0.0,58.3,112.7
FL0442,I5892,2023-10-06,10,Friday,0,AirAsia India,ATR72,BOM,BHO,441,8,59,70,66.0,94.7,2.0,2.0,9,2,20.1,0.0,0.0,18.2,31.1
FL0027,6E325,2023-09-10,9,Sunday,1,IndiGo,B737,JAI,DEL,260,20,39,162,111.0,68.9,6.0,5.0,4,9,7.9,0.0,0.0,23.4,46.9
FL0186,AI478,2023-08-13,8,Sunday,1,Air India,A320,SXR,COK,1070,20,107,180,152.0,84.5,7.0,9.0,2,4,8.9,0.0,0.0,28.6,90.4
FL1392,SG536,2023-09-03,9,Sunday,1,SpiceJet,B737,BOM,GOI,450,14,72,162,135.0,83.8,3.0,10.0,9,3,11.7,0.0,0.0,23.6,79.7
FL0485,SG401,2023-01-10,1,Tuesday,0,SpiceJet,ATR72,PNQ,CCU,1224,7,129,70,56.0,81.4,5.0,1.0,4,5,14.0,0.0,0.0,22.1,42.4
FL0424,6E708,2023-11-07,11,Tuesday,0,IndiGo,B787,PNQ,SXR,1090,13,122,296,221.0,74.9,6.0,2.0,4,2,0.0,0.0,0.0,16.0,17.0
FL0724,SG143,2023-03-06,3,Monday,0,SpiceJet,A321,IXB,HYD,1110,13,109,220,156.0,71.2,2.0,8.0,2,6,6.1,0.0,1.1,10.5,57.1
FL0787,UK297,2023-04-13,4,Thursday,0,Vistara,B787,LKO,CCU,1093,6,103,296,236.0,80.0,8.0,2.0,3,5,0.0,0.0,0.0,28.5,23.4
FL0572,AI660,2023-09-22,9,Friday,0,Air India,A321,JAI,PAT,1999,13,170,220,205.0,93.6,3.0,7.0,4,2,,0.0,0.0,7.9,70.7
FL0907,I5912,2023-01-28,1,Saturday,1,AirAsia India,B737,HYD,VTZ,300,15,40,162,98.0,60.8,1.0,9.0,6,2,4.9,,0.0,16.4,84.4
FL0495,6E523,2023-09-14,9,Thursday,0,IndiGo,B787,HYD,BLR,500,9,57,296,242.0,81.9,9.0,10.0,6,7,4.1,0.0,0.0,30.5,89.0
FL0959,AI556,2023-08-31,8,Thursday,0,Air India,A319,HYD,JAI,350,11,44,144,130.0,91.0,6.0,9.0,6,4,3.3,0.0,0.0,15.7,84.5
FL0542,6E122,2023-07-11,7,Tuesday,0,IndiGo,A320,PNQ,AMD,1789,8,157,180,141.0,78.6,4.0,3.0,4,4,10.5,0.0,0.0,10.2,27.3
FL0042,I5785,2023-05-11,5,Thursday,0,AirAsia India,A320,IXB,VTZ,1370,13,127,180,152.0,84.7,2.0,2.0,2,2,5.2,23.3,0.0,30.8,39.0
FL0923,AI837,2023-04-19,4,Wednesday,0,Air India,ATR72,VTZ,IXC,664,20,88,70,55.0,78.7,2.0,4.0,2,2,10.5,0.0,0.0,16.2,53.2
FL0857,6E778,2023-08-06,8,Sunday,1,IndiGo,B737,JAI,BHO,1131,5,121,162,128.0,79.3,5.0,10.0,4,2,4.3,0.0,0.0,24.8,88.3
FL0449,AI503,2023-10-17,10,Tuesday,0,Air India,A321,BLR,VTZ,495,5,74,220,212.0,96.8,3.0,8.0,7,2,0.0,0.0,0.0,12.6,58.1
FL1345,6E105,2023-01-17,1,Tuesday,0,IndiGo,B787,HYD,COK,880,17,92,296,287.0,97.0,1.0,1.0,6,4,16.2,0.0,0.0,18.5,40.7
FL0858,SG960,2023-10-28,10,Saturday,1,SpiceJet,B777,MAA,PNQ,1437,12,126,342,303.0,88.6,1.0,5.0,6,4,5.4,0.0,0.0,10.8,38.9
FL0009,6E266,2023-05-02,5,Tuesday,0,IndiGo,ATR72,HYD,BHO,869,9,92,70,51.0,74.2,6.0,4.0,6,2,10.8,0.0,0.0,32.4,18.2
